QueryId,DocumentId
303,NYT19990310.0333
303,NYT19991215.0229
303,APW19990516.0013
303,APW19990516.0127
303,NYT19991221.0351
303,NYT19991206.0115
303,NYT19991222.0449
303,NYT20000602.0093
303,NYT19991219.0272
303,APW19990224.0040
303,APW19990224.0042
303,NYT19990310.0503
303,NYT19991223.0360
303,NYT19981228.0315
303,NYT19991115.0396
303,NYT19991222.0420
303,APW19990108.0103
303,APW19990108.0283
303,NYT19991215.0237
303,NYT19990108.0368
303,NYT19991223.0308
303,NYT19991223.0384
303,NYT19990719.0430
303,NYT20000518.0275
303,APW19990311.0166
303,APW19990310.0063
303,APW19990310.0167
303,NYT19990718.0148
303,NYT19981008.0371
303,NYT19990826.0251
303,APW19990525.0223
303,APW19990826.0244
303,NYT19990107.0373
303,NYT19990607.0234
303,APW19990120.0256
303,XIE19970211.0046
303,NYT19991105.0298
303,APW19991006.0285
303,XIE19991228.0201
303,XIE19961108.0181
303,NYT20000602.0091
303,NYT20000602.0092
303,APW19990724.0076
303,NYT19991115.0309
303,NYT19981019.0198
303,XIE19970221.0084
303,XIE19990109.0245
303,NYT19991220.0383
303,APW19990718.0024
303,NYT20000210.0063
303,NYT19981008.0331
303,NYT19990525.0358
303,NYT19990526.0001
303,NYT19990211.0114
303,NYT19990601.0311
303,NYT19990526.0034
303,APW19980715.1061
303,NYT19991228.0262
303,APW19990428.0195
303,APW19990519.0068
303,APW19990519.0070
303,APW19990519.0141
303,XIE19980610.0069
303,XIE19970513.0108
303,APW19990601.0297
303,APW19990602.0158
303,APW19990417.0073
303,APW19990417.0118
303,APW19991006.0154
303,NYT20000529.0117
303,NYT19991221.0114
303,APW19990416.0258
303,APW19990416.0302
303,NYT19981123.0242
303,NYT19990520.0073
303,NYT19981012.0245
303,APW19981008.1253
303,APW19991013.0171
303,APW19990310.0227
303,NYT19991214.0327
303,XIE20000522.0056
303,NYT19990605.0071
303,NYT19990605.0072
303,NYT19990607.0082
303,NYT19990607.0083
303,APW19990414.0120
303,APW19990414.0141
303,APW19990414.0198
303,NYT19981019.0200
303,NYT19991214.0113
303,NYT19991214.0114
303,NYT19991210.0254
303,NYT19991210.0256
303,NYT19980701.0228
303,APW19990108.0269
303,NYT19991208.0204
303,NYT19980716.0050
303,NYT19980601.0308
303,NYT19980615.0134
303,NYT19990609.0289
307,XIE19990501.0067
307,NYT20000801.0357
307,XIE19981121.0137
307,XIE19961203.0196
307,NYT20000211.0274
307,NYT20000211.0327
307,XIE19980915.0116
307,NYT19990712.0395
307,XIE19970306.0116
307,XIE19970120.0005
307,XIE19981006.0142
307,XIE19960929.0108
307,APW19980602.0026
307,XIE20000824.0267
307,XIE19960815.0223
307,XIE20000202.0158
307,XIE20000303.0117
307,NYT19980923.0435
307,XIE19981007.0271
307,APW19981111.0561
307,XIE19981111.0261
307,XIE20000703.0032
307,XIE19990512.0176
307,NYT19990312.0334
307,XIE19970621.0161
307,NYT19980603.0158
307,NYT19980604.0073
307,XIE19970308.0190
307,NYT19981127.0214
307,APW19980731.0324
