QueryId,DocumentId
303,NYT19990310.0333
303,NYT19991215.0229
303,APW19990224.0040
303,APW19990224.0042
303,NYT19990310.0503
303,NYT19991115.0396
303,NYT19991222.0420
303,APW19990311.0166
303,APW19990310.0063
303,APW19990310.0167
303,APW19990826.0244
303,APW19990516.0013
303,APW19990516.0127
303,NYT19991206.0115
303,NYT19991219.0272
303,NYT19991222.0449
303,NYT19991223.0360
303,NYT19991221.0351
303,NYT19991215.0237
303,NYT19990108.0368
303,NYT19981008.0371
303,NYT19991223.0308
303,NYT19991223.0384
303,NYT19990107.0373
303,NYT19991105.0298
303,XIE19970211.0046
303,NYT19991115.0309
303,NYT19991220.0383
303,NYT19981008.0331
303,XIE19970221.0084
303,NYT19990211.0114
303,NYT19980601.0308
303,APW19991006.0285
303,APW19990718.0024
303,NYT19991214.0327
303,APW19990428.0195
303,APW19990414.0120
303,APW19990414.0141
303,APW19990414.0198
303,NYT19991227.0400
303,APW19991006.0154
303,NYT19990723.0236
303,APW19990209.0343
303,APW19990209.0357
303,APW19990209.0359
303,APW19990210.0167
303,APW19990210.0168
303,APW19990210.0356
303,APW19990210.0359
303,XIE19981010.0047
303,XIE19990416.0045
303,NYT19990909.0337
303,XIE20000522.0056
303,NYT19991213.0349
303,APW19990624.0050
303,NYT19990723.0219
303,APW19991007.0315
303,APW19990624.0293
303,NYT19990120.0443
303,APW19980609.1531
303,XIE19970513.0108
303,APW19991013.0171
303,NYT19981228.0315
303,NYT20000602.0093
303,NYT19990719.0430
303,NYT19990718.0148
303,APW19990108.0103
303,APW19990108.0283
303,NYT20000518.0275
303,APW19990525.0223
303,NYT19990826.0251
303,XIE19961108.0181
303,NYT19990607.0234
303,NYT19980615.0134
303,NYT19990525.0358
303,NYT19990526.0001
303,NYT19981019.0198
303,APW19990724.0076
303,NYT19990526.0034
303,NYT19990927.0283
303,APW19990120.0256
303,XIE19991228.0201
303,NYT20000602.0091
303,NYT20000602.0092
303,NYT19990601.0311
303,NYT19981012.0245
303,NYT19991221.0114
303,NYT20000210.0063
303,XIE19990109.0245
303,APW19980715.1061
303,APW19990601.0297
303,APW19990602.0158
303,NYT19991228.0262
303,NYT20000529.0117
303,NYT19990605.0071
303,NYT19990605.0072
303,NYT19990607.0082
303,NYT19990607.0083
303,NYT19981007.0265
303,XIE19980610.0069
307,XIE19961203.0196
307,XIE19971106.0004
307,XIE19990501.0067
307,NYT19980923.0435
307,XIE19980918.0161
307,XIE19960305.0207
307,XIE19961006.0133
307,NYT20000801.0357
307,XIE20000627.0017
307,XIE19961017.0153
307,XIE19980818.0211
307,XIE19980529.0217
307,XIE19970212.0184
307,XIE19990512.0176
307,XIE19970311.0125
307,XIE19971211.0333
307,XIE19970626.0049
307,XIE19970627.0220
307,NYT20000211.0274
307,NYT20000211.0327
307,NYT19990312.0334
307,NYT19990712.0395
307,XIE19970306.0116
307,NYT19980715.0039
307,XIE20000824.0267
307,XIE20000202.0158
307,XIE19960929.0108
307,XIE19981007.0271
307,XIE20000703.0032
307,APW19980731.0324
