QueryId,DocumentId
251,clueweb12-0300wb-82-24885
251,clueweb12-0310wb-58-26418
251,clueweb12-0101wb-00-27576
251,clueweb12-1704wb-55-08156
251,clueweb12-0008wb-68-25416
251,clueweb12-0211wb-73-14210
251,clueweb12-1414wb-69-21961
251,clueweb12-1910wb-36-10033
251,clueweb12-0002wb-97-13218
251,clueweb12-0300wb-50-03853
251,clueweb12-0002wb-32-28232
251,clueweb12-0400wb-81-10187
251,clueweb12-0302wb-27-00643
251,clueweb12-0005wb-51-29086
251,clueweb12-0006wb-33-07822
251,clueweb12-0311wb-57-05410
251,clueweb12-0401wb-42-12362
251,clueweb12-0401wb-99-08601
251,clueweb12-0401wb-12-19375
251,clueweb12-0400wb-50-06936
252,clueweb12-0715wb-42-05124
252,clueweb12-0210wb-79-16021
252,clueweb12-0714wb-37-04780
252,clueweb12-0709wb-53-21040
252,clueweb12-0911wb-12-05178
252,clueweb12-1206wb-40-25914
252,clueweb12-0311wb-12-07924
252,clueweb12-1103wb-98-17024
252,clueweb12-0711wb-29-11759
252,clueweb12-0201wb-50-22141
252,clueweb12-0715wb-83-20425
252,clueweb12-0714wb-66-10010
252,clueweb12-0709wb-23-21516
252,clueweb12-0918wb-52-18914
252,clueweb12-0006wb-67-21389
252,clueweb12-0712wb-68-01767
252,clueweb12-0603wb-64-21780
252,clueweb12-0603wb-73-02664
252,clueweb12-0602wb-87-12029
252,clueweb12-0604wb-30-32864
253,clueweb12-0504wb-38-29046
253,clueweb12-0102wb-42-16190
253,clueweb12-0807wb-22-25760
253,clueweb12-1212wb-24-07661
253,clueweb12-0713wb-40-03785
253,clueweb12-1702wb-95-23938
253,clueweb12-0808wb-58-05291
253,clueweb12-1301wb-99-25227
253,clueweb12-1113wb-05-18208
253,clueweb12-1406wb-96-06850
253,clueweb12-1600wb-32-12121
253,clueweb12-0112wb-28-04543
253,clueweb12-0304wb-14-29018
253,clueweb12-0209wb-39-15082
253,clueweb12-0110wb-52-30735
253,clueweb12-1118wb-68-09602
253,clueweb12-1009wb-92-11714
253,clueweb12-1306wb-55-19889
253,clueweb12-1900wb-85-07545
253,clueweb12-1806wb-99-16658
254,clueweb12-0911wb-52-13620
254,clueweb12-0911wb-76-02509
254,clueweb12-0918wb-43-20583
254,clueweb12-0008wb-78-18652
254,clueweb12-0311wb-35-25956
254,clueweb12-0602wb-20-22290
254,clueweb12-0006wb-89-24956
254,clueweb12-1507wb-88-23230
254,clueweb12-0100wb-35-12080
254,clueweb12-0001wb-85-16954
254,clueweb12-0004wb-85-05475
254,clueweb12-0600wb-38-09891
254,clueweb12-0006wb-77-02286
254,clueweb12-0402wb-12-10750
254,clueweb12-0201wb-07-03390
254,clueweb12-0805wb-09-08264
254,clueweb12-0002wb-59-23009
254,clueweb12-1705wb-84-23375
254,clueweb12-0211wb-89-20040
254,clueweb12-1102wb-46-00073
255,clueweb12-1811wb-23-09153
255,clueweb12-1708wb-51-07729
255,clueweb12-0918wb-07-02509
255,clueweb12-0917wb-83-22820
255,clueweb12-1811wb-26-03417
255,clueweb12-1811wb-53-06263
255,clueweb12-1811wb-48-19682
255,clueweb12-1811wb-83-00241
255,clueweb12-1811wb-62-03581
255,clueweb12-1811wb-97-10106
255,clueweb12-1811wb-88-05110
255,clueweb12-0906wb-67-25749
255,clueweb12-0918wb-07-02481
255,clueweb12-0919wb-50-01682
255,clueweb12-1004wb-83-29414
255,clueweb12-1810wb-50-15064
255,clueweb12-1204wb-62-11747
255,clueweb12-0204wb-27-11507
255,clueweb12-0301wb-71-04060
255,clueweb12-1200wb-43-26294
256,clueweb12-0300wb-35-08074
256,clueweb12-0301wb-07-01543
256,clueweb12-1215wb-82-23909
256,clueweb12-0812wb-17-16048
256,clueweb12-0809wb-43-18755
256,clueweb12-0812wb-37-10228
256,clueweb12-0812wb-37-10242
256,clueweb12-0811wb-18-09132
256,clueweb12-0810wb-71-22055
256,clueweb12-0810wb-87-08881
256,clueweb12-0811wb-91-22439
256,clueweb12-0811wb-62-20816
256,clueweb12-0811wb-62-20802
256,clueweb12-0810wb-71-22069
256,clueweb12-0809wb-95-05523
256,clueweb12-0812wb-76-14843
256,clueweb12-0611wb-90-19411
